2024:10:30,14:15:35,A,25.6,0,0,0,7.0
2024:10:30,14:15:35,A,25.6,0,0,0,7.0
2024:10:30,14:15:35,A,25.6,0,0,0,7.0
2024:10:30,14:15:35,A,25.6,0,0,0,7.0
2024:10:30,14:15:35,A,25.6,0,0,0,7.0
2024:10:30,14:15:35,A,25.6,0,0,0,7.0
2024:10:30,14:16:35,A,25.7,0,0,0,7.0
2024:10:30,14:17:35,A,25.8,0,0,0,7.0
2024:10:30,14:19:35,A,25.8,0,0,0,7.0
End of tested data
Start new data 
2024:11:8,14:45:00,B,22.3,o,o,o,10.5
Start of new data  after latest OS grades
2024:11:08,15:50:00,D,16.8,0,0,0,88.7
 

